instance,prohibited_content
kcmo.social,pornography_nocw
kcmo.social,illegalContentLinks
kcmo.social,spam
mstdn.schoolidol.club,nudity_nocw
mstdn.schoolidol.club,pornography_nocw
mstdn.schoolidol.club,illegalContentLinks
mstdn.schoolidol.club,spam
pounced-on.me,nudity_nocw
pounced-on.me,pornography_nocw
pounced-on.me,illegalContentLinks
pounced-on.me,spam
pounced-on.me,advertising
pounced-on.me,spoilers_nocw
furry.engineer,nudity_nocw
furry.engineer,pornography_nocw
furry.engineer,illegalContentLinks
furry.engineer,spam
furry.engineer,advertising
kanoa.de,nudity_nocw
kanoa.de,nudity_all
kanoa.de,pornography_nocw
kanoa.de,pornography_all
kanoa.de,illegalContentLinks
kanoa.de,spam
kanoa.de,advertising
beach.city,nudity_nocw
beach.city,pornography_nocw
beach.city,illegalContentLinks
beach.city,spam
beach.city,advertising
loma.ml,nudity_all
odakyu.app,nudity_nocw
odakyu.app,nudity_all
odakyu.app,pornography_nocw
odakyu.app,pornography_all
odakyu.app,illegalContentLinks
odakyu.app,spam
odakyu.app,advertising
mstdn.ikebuku.ro,nudity_nocw
mstdn.ikebuku.ro,pornography_nocw
mstdn.ikebuku.ro,illegalContentLinks
mstdn.ikebuku.ro,spam
mstdn.ikebuku.ro,advertising
toot.supremesyntax.com,spam
is.nota.live,nudity_nocw
is.nota.live,pornography_nocw
is.nota.live,spam
is.nota.live,advertising
is.nota.live,spoilers_nocw
toot.wales,nudity_nocw
toot.wales,pornography_nocw
toot.wales,illegalContentLinks
toot.wales,spam
toot.wales,advertising
todon.ploud.fr,nudity_nocw
todon.ploud.fr,nudity_all
todon.ploud.fr,pornography_nocw
todon.ploud.fr,pornography_all
todon.ploud.fr,illegalContentLinks
todon.ploud.fr,spam
social.seattle.wa.us,nudity_nocw
social.seattle.wa.us,pornography_nocw
social.seattle.wa.us,illegalContentLinks
social.seattle.wa.us,spam
social.seattle.wa.us,advertising
social.seattle.wa.us,spoilers_nocw
nitech.online,nudity_nocw
nitech.online,nudity_all
nitech.online,pornography_nocw
nitech.online,pornography_all
nitech.online,illegalContentLinks
nitech.online,spam
mastodon.librelabucm.org,pornography_nocw
mastodon.librelabucm.org,illegalContentLinks
rivals.space,nudity_nocw
rivals.space,pornography_nocw
rivals.space,illegalContentLinks
rivals.space,spam
rivals.space,advertising
rivals.space,spoilers_nocw
mastodon.radio,illegalContentLinks
mastodon.radio,spam
mastodon.radio,advertising
fandom.ink,nudity_nocw
fandom.ink,pornography_nocw
fandom.ink,illegalContentLinks
fandom.ink,spam
fandom.ink,advertising
fandom.ink,spoilers_nocw
mastodon.triggerphra.se,illegalContentLinks
efdn.club,nudity_nocw
efdn.club,pornography_nocw
efdn.club,spam
efdn.club,advertising
efdn.club,spoilers_nocw
jorts.horse,nudity_nocw
jorts.horse,pornography_nocw
jorts.horse,illegalContentLinks
jorts.horse,spam
jorts.horse,advertising
mastodon.hamburg,nudity_nocw
mastodon.hamburg,pornography_nocw
mastodon.hamburg,pornography_all
mastodon.hamburg,illegalContentLinks
mastodon.hamburg,spam
mastodon.hamburg,spoilers_nocw
medievalist.masto.host,nudity_nocw
medievalist.masto.host,nudity_all
medievalist.masto.host,pornography_nocw
medievalist.masto.host,pornography_all
medievalist.masto.host,illegalContentLinks
medievalist.masto.host,spam
medievalist.masto.host,advertising
medievalist.masto.host,spoilers_nocw
plustodon.net,illegalContentLinks
plustodon.net,spam
mastodon.bayern,nudity_nocw
mastodon.bayern,pornography_nocw
mastodon.bayern,illegalContentLinks
mastodon.bayern,spam
mastodon.bayern,advertising
mastodon.bayern,spoilers_nocw
schleuss.online,pornography_nocw
schleuss.online,pornography_all
schleuss.online,spam
