instance,language
mstdn.ro,en
mstdn.ro,ro
masto.nu,nl
masto.nu,en
masto.nu,eo
cornerbooth.chat,en
neovibe.app,en
socialpa.ws,en
socialpa.ws,de
socialpa.ws,ru
social.treehouse.systems,en
msdyn365bc.social,en
mastodon.pathconnect.de,de
defcon.social,en
rheinhessen.social,de
datacorner.social,en
musicians.today,en
disabled.social,en
attractive.space,en
attractive.space,fi
recordplug.club,en
bvb.social,de
webperf.social,en
ooe.social,en
ooe.social,de
sakamichi.fun,ja
discuss.smash.today,en
blorbo.social,en
firekitten.social,en
franken.social,de
lingo.lol,en
karlsruhe-social.de,en
karlsruhe-social.de,de
karlsruhe-social.de,es
wiesbaden.social,en
wiesbaden.social,de
blasmusik.social,de
genealysis.social,en
poweredbygay.social,en
jbo.social,de
hed.im,he
epicure.social,en
idic.social,en
urusai.social,en
mcr.wtf,en
convo.casa,en
hacks.fi,en
hacks.fi,fi
academictalk.org,en
social.sineware.ca,en
talamanca.social,ca
mstdn.gsi.li,en
mstdn.gsi.li,de
genomic.social,en
babyfurs.social,en
techhub.social,en
metalverse.social,en
metalverse.social,de
ohnepunktundkomma.org,en
ohnepunktundkomma.org,de
toot.lv,lv
devschile.social,es
snooker.uk.to,en
leftodon.social,he
federatedfandom.net,en
widget.uk,en
vogtland.social,de
undefined.social,en
undefined.social,de
religion.masto.host,en
birdbox.party,en
ecoevo.social,en
waterford.international,en
furry.energy,en
dustbuster.club,en
expressional.social,da
expressional.social,en
expressional.social,no
expressional.social,nn
expressional.social,sv
frontrange.co,en
bookstodon.com,en
5280.city,en
5280.city,es
masto.es,es
borahae.love,en
formu1a.social,en
amphora.social,en
betterconversations.online,en
vermont.masto.host,en
lgbtcz.social,cs
lgbtcz.social,en
lgbtcz.social,sk
startrekshitposting.com,en
weremember.social,en
weremember.social,de
glitch.lgbt,en
me.syslog.eu,cs
me.syslog.eu,en
meowstodon.net,be
meowstodon.net,en
vkl.world,be
shark.community,en
mast.hpc.social,en
leipzig.town,de
wptoots.social,en
kalmar.social,sv
