instance,added_at,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,topic
vyrse.social,2022-11-21T07:39:56.861Z,2024-10-30T13:15:07.247Z,2024-10-30T13:15:07.247Z,1,true,false,4.3.1,false,0,,80,B+,10,5786,18794,true,vyrse.social
harrystyl.es,2022-11-21T07:39:58.361Z,2024-10-30T12:36:43.900Z,2024-10-30T12:36:43.900Z,1,true,false,4.3.1,false,0,,80,B+,10,49,7837,true,Harry Styles × Mastodon
social.evilma.id,2022-11-21T07:40:11.908Z,2024-10-30T12:35:42.648Z,2024-10-30T12:35:42.648Z,1,true,false,,false,10,"E ",65,B-,3,23,5252,true,Evilmaid Social
bbq.golf,2022-11-21T07:40:31.712Z,2024-10-30T12:35:22.327Z,2024-10-30T12:35:22.327Z,1,true,false,4.3.1,false,0,,80,B+,13,415,5995,true,高尔夫花园烧烤
harz.social,2022-11-21T07:40:32.155Z,2024-10-30T13:15:24.218Z,2024-10-30T13:15:24.218Z,1,true,false,,false,5,"F ",80,B+,21,215,6282,true,harz.social
m.blablu.de,2022-11-21T07:40:41.901Z,2024-10-30T12:31:16.149Z,2024-10-30T12:31:16.149Z,1,true,false,3.5.3,true,5,"F ",80,B+,23,68,1633,true,Mastodon BlaBlu
mecha.garden,2022-11-21T07:40:44.302Z,2024-10-30T12:35:11.724Z,2024-10-30T12:35:11.724Z,1,true,false,,false,100,A+,65,B-,41,10097,32576,true,The Garden
datasci.social,2022-11-21T07:42:14.797Z,2024-10-30T13:10:05.311Z,2024-10-30T13:10:05.311Z,1,true,false,,false,100,A+,125,A+,459,9934,22732,true,datasci.social
redrosewriter.com,2022-11-21T07:42:26.319Z,2024-10-30T12:55:02.533Z,2024-10-30T12:55:02.533Z,1,true,false,4.3.1,false,10,"E ",80,B+,6,1,1829,true,RedRoseWriter
social.kherson.dcomm.net.ua,2022-11-21T07:42:29.555Z,2024-10-30T12:50:11.622Z,2024-10-30T12:50:11.622Z,1,true,false,,false,0,,80,B+,11,590,951,true,dComms Kherson Mastodon
mastodon.beatrice.wtf,2022-11-21T07:42:34.231Z,2024-10-30T12:31:32.744Z,2024-10-30T12:31:32.744Z,1,true,false,4.0.2,false,100,A+,75,"B ",1,1,3490,true,Mastodon
lastfree.space,2022-11-21T07:42:34.896Z,2024-10-30T12:36:05.827Z,2024-10-30T12:36:05.827Z,1,true,false,,false,100,A+,60,C+,51,2437,30869,true,Last Free Space
fabler.su,2022-11-21T07:42:37.751Z,2024-10-30T12:31:11.391Z,2024-10-30T12:31:11.391Z,1,true,false,,false,5,"F ",30,"D ",7,5511,29173,true,Сказочная тайга
ma.id10t.it,2022-11-21T07:42:38.489Z,2024-10-30T12:32:00.897Z,2024-10-30T12:32:00.897Z,1,true,false,,false,10,"E ",125,A+,4,1,2078,true,MA
